Filename;Recursive Steps LP;n;Recursive Steps CC
000002_000000000002.input;0;2;0
000002_000000000006.input;2;6;2
000002_000000000012.input;4;12;4
000002_000000000020.input;4;20;4
000004_000000000004.input;0;4;0
000004_000000000012.input;8;12;8
000004_000000000024.input;8;24;8
000004_000000000040.input;8;40;8
000006_000000000007.input;2;7;2
000006_000000000018.input;8;18;8
000006_000000000036.input;8;36;8
000006_000000000060.input;10;60;10
000008_000000000009.input;2;9;2
000008_000000000024.input;10;24;10
000008_000000000048.input;14;48;14
000008_000000000080.input;14;80;14
000010_000000000012.input;4;12;4
000010_000000000030.input;16;30;16
000010_000000000060.input;20;60;20
000010_000000000100.input;20;100;20
000012_000000000014.input;2;14;2
000012_000000000036.input;20;36;20
000012_000000000072.input;22;72;22
000012_000000000120.input;22;120;22
000014_000000000016.input;4;16;4
000014_000000000042.input;16;42;16
000014_000000000084.input;26;84;26
000014_000000000140.input;26;140;26
000016_000000000019.input;2;19;2
000016_000000000048.input;22;48;22
000016_000000000096.input;30;96;30
000016_000000000160.input;30;160;30
000018_000000000021.input;4;21;4
000018_000000000054.input;22;54;22
000018_000000000108.input;30;108;30
000018_000000000180.input;34;180;34
000020_000000000024.input;4;24;4
000020_000000000060.input;30;60;30
000020_000000000120.input;36;120;36
000020_000000000200.input;36;200;36
000022_000000000026.input;6;26;6
000022_000000000066.input;30;66;30
000022_000000000132.input;38;132;38
000022_000000000220.input;40;220;40
000024_000000000028.input;8;28;8
000024_000000000072.input;24;72;24
000024_000000000144.input;44;144;44
000024_000000000240.input;44;240;44
000026_000000000031.input;10;31;10
000026_000000000078.input;40;78;40
000026_000000000156.input;46;156;46
000026_000000000260.input;50;260;50
000028_000000000033.input;8;33;8
000028_000000000084.input;40;84;40
000028_000000000168.input;52;168;52
000028_000000000280.input;44;280;44
000030_000000000036.input;12;36;10
000030_000000000090.input;42;90;42
000030_000000000180.input;54;180;54
000030_000000000300.input;50;300;50
000035_000000000042.input;12;42;12
000035_000000000105.input;52;105;52
000035_000000000210.input;52;210;52
000035_000000000350.input;68;350;68
000040_000000000048.input;14;48;14
000040_000000000120.input;60;120;60
000040_000000000240.input;70;240;70
000040_000000000400.input;72;400;72
000045_000000000054.input;12;54;12
000045_000000000135.input;64;135;64
000045_000000000270.input;78;270;78
000045_000000000450.input;80;450;80
000050_000000000060.input;18;60;18
000050_000000000150.input;84;150;84
000050_000000000300.input;92;300;92
000050_000000000500.input;98;500;94
000055_000000000066.input;16;66;16
000055_000000000165.input;78;165;78
000055_000000000330.input;96;330;96
000055_000000000550.input;98;550;98
000060_000000000072.input;20;72;20
000060_000000000180.input;128;180;86
000060_000000000360.input;100;360;100
000060_000000000600.input;106;600;106
000065_000000000078.input;22;78;22
000065_000000000195.input;104;195;98
000065_000000000390.input;118;390;118
000065_000000000650.input;126;650;126
000070_000000000084.input;24;84;24
000070_000000000210.input;111;210;109
000070_000000000420.input;120;420;120
000070_000000000700.input;146;700;134
000075_000000000090.input;26;90;26
000075_000000000225.input;166;225;128
000075_000000000450.input;136;450;136
000075_000000000750.input;140;750;140
000080_000000000096.input;25;96;25
000080_000000000240.input;157;240;123
000080_000000000480.input;146;480;146
000080_000000000800.input;154;800;154
000085_000000000102.input;32;102;32
000085_000000000255.input;167;255;123
000085_000000000510.input;152;510;152
000085_000000000850.input;164;850;164
000090_000000000108.input;33;108;33
000090_000000000270.input;196;270;210
000090_000000000540.input;156;540;156
000090_000000000900.input;170;900;170
000095_000000000114.input;36;114;36
000095_000000000285.input;311;285;153
000095_000000000570.input;172;570;172
000095_000000000950.input;174;950;174
000100_000000000120.input;40;120;40
000100_000000000300.input;339;300;171
000100_000000000600.input;190;600;190
000100_000000001000.input;192;1000;192
000200_000000000240.input;76;240;76
000300_000000000360.input;116;360;120
000400_000000000480.input;156;480;184
000500_000000000600.input;222;600;200
000600_000000000720.input;352;720;240